rental_id,company,city,car_type,price_per_day_usd,available,pickup_date,return_date
ZV-CR-001,Zava Car Rentals,Paris,Economy,45.00,true,2025-08-15,2025-08-30
ZV-CR-002,Zava Car Rentals,Paris,SUV,85.00,true,2025-08-15,2025-08-30
ZV-CR-003,EuroDrive,Paris,Luxury,150.00,true,2025-08-15,2025-08-30
ZV-CR-004,Zava Car Rentals,London,Economy,50.00,true,2025-09-01,2025-09-15
ZV-CR-005,Zava Car Rentals,London,SUV,95.00,true,2025-09-01,2025-09-15
ZV-CR-006,BritCars,London,Luxury,175.00,false,2025-09-01,2025-09-15
ZV-CR-007,Zava Car Rentals,Tokyo,Economy,55.00,true,2025-10-05,2025-10-20
ZV-CR-008,NipponRide,Tokyo,Minivan,90.00,true,2025-10-05,2025-10-20
ZV-CR-009,NipponRide,Tokyo,Luxury,200.00,true,2025-10-05,2025-10-20
ZV-CR-010,Zava Car Rentals,Rome,Economy,40.00,true,2025-11-01,2025-11-15
ZV-CR-011,ItaliaWheels,Rome,SUV,80.00,true,2025-11-01,2025-11-15
ZV-CR-012,ItaliaWheels,Rome,Luxury,160.00,false,2025-11-01,2025-11-15
ZV-CR-013,Zava Car Rentals,Cancún,Economy,35.00,true,2025-12-20,2026-01-05
ZV-CR-014,SolRentals,Cancún,SUV,70.00,true,2025-12-20,2026-01-05
ZV-CR-015,SolRentals,Cancún,Minivan,65.00,true,2025-12-20,2026-01-05
